	m00        	mu02        mu11        mu20        mu03          mu12          mu21        mu30
a	153.000000  2504.235294  -154.411765  3291.581699  -116.387543  -2672.308727  231.793541  2680.348413  
a	158.000000  2634.835443  -187.924051  3350.234177  -91.834321  -2848.693799  249.605512  2080.785772  
a	165.000000  2781.248485  -63.418182  3470.581818  -325.159082  -3069.252011  26.214656  2853.463140  
a	165.000000  2896.993939  -236.187879  3491.175758  295.242902  -3181.173076  319.271001  2919.467695  
a	166.000000  2748.481928  -147.783133  3654.897590  65.442590  -2827.985774  -64.218900  3196.940049  
a	161.000000  2777.515528  -234.291925  3485.888199  -106.592415  -3425.631534  297.444273  3176.385556  
a	174.000000  3054.804598  -180.931034  3757.034483  -538.875677  -3289.330559  147.489893  1735.762188  
a	174.000000  3129.201149  -108.856322  3717.959770  -1128.521337  -3529.902761  147.798520  2505.987449  
a	163.000000  2833.656442  -195.539877  3490.294479  -263.420528  -3520.634536  437.081749  2834.358086  
a	173.000000  2974.682081  -155.156069  3560.705202  -679.731097  -2677.867152  353.504628  1444.170270  
c	118.000000  1585.084746  155.830508  3118.338983  1312.365987  205.878196  2864.108015  -1336.114335  
c	120.000000  1837.866667  191.866667  3154.991667  1314.568889  345.502222  3472.135556  -743.874861  
c	123.000000  1777.333333  235.666667  3277.626016  1763.111111  703.596206  2837.184282  -1764.392491  
c	121.000000  1743.652893  191.719008  3191.867769  1790.380985  401.596885  3164.907042  -1565.446759  
c	118.000000  1706.067797  235.406780  3035.940678  1751.777650  458.055731  2741.114048  -1197.993680  
c	118.000000  1673.398305  111.322034  3112.813559  1939.233266  467.204826  2799.964378  -309.943694  
c	123.000000  1698.650407  164.910569  3315.674797  1488.134576  601.433935  3124.778240  -482.009650  
c	125.000000  1803.232000  182.760000  3412.800000  1747.458432  806.093760  3197.524800  -268.656000  
c	132.000000  2082.992424  287.287879  3505.060606  1762.340794  865.701331  3744.228191  -1318.247016  
c	136.000000  2072.875000  247.125000  3728.404412  1384.593750  614.347426  3381.770221  -933.950151  
e	136.000000  2360.639706  209.463235  3024.404412  1653.716587  101.507245  1853.162954  -1194.285143  
e	139.000000  2410.532374  234.035971  3029.151079  1838.775943  416.981264  2048.342891  -1293.415972  
e	151.000000  2617.417219  222.463576  3027.403974  872.106223  343.704487  1308.152888  -2119.309153  
e	155.000000  2856.283871  211.922581  3276.748387  1453.365328  496.853444  1312.734984  -1405.414527  
e	158.000000  2755.518987  138.151899  3519.215190  1091.551995  453.099503  1790.441596  -1527.884954  
e	156.000000  2731.435897  137.820513  3530.897436  1456.880999  104.774490  1981.204471  -1046.278764  
e	156.000000  2787.557692  178.269231  3455.923077  2142.508136  240.409763  1482.360947  -1334.520710  
e	155.000000  2883.896774  251.329032  3413.638710  1622.727908  85.260437  2029.476712  -1740.562664  
e	163.000000  3006.503067  182.938650  3487.226994  1791.037149  -355.411683  806.485190  -1398.280477  
e	167.000000  3078.275449  243.958084  3503.245509  819.329700  81.689089  1587.703001  -1175.022625  
m	250.000000  14808.400000  -297.480000  7110.276000  -3117.456000  -10134.796800  -2310.813440  -4311.641472  
m	271.000000  16757.704797  -1177.830258  7767.852399  1550.590651  -9121.008075  955.996433  -3620.950532  
m	269.000000  16335.947955  -933.553903  8017.033457  -2648.421608  -8412.541286  283.782452  -3509.581929  
m	269.000000  16890.022305  -513.345725  7795.858736  -3809.024806  -11208.256768  69.518940  -4270.814942  
m	269.000000  16334.951673  -619.312268  7770.289963  -3392.755352  -8945.976244  -648.757853  -3830.975249  
m	276.000000  17439.692029  -803.775362  7944.942029  2225.876680  -12052.952163  -379.998320  -4016.455787  
m	289.000000  18362.000000  -671.176471  8810.249135  4221.176471  -13139.058824  -207.677590  -3654.602938  
m	290.000000  18322.082759  -1105.179310  8802.555172  1016.807515  -12562.469156  -518.293841  -3196.761046  
m	287.000000  18493.874564  -625.000000  8518.000000  -227.327295  -8751.989547  139.362369  -2778.000000  
m	289.000000  18362.124567  -660.768166  8447.737024  -2640.945319  -9962.388525  -329.536045  -2006.271668  
n	159.000000  3476.767296  -481.899371  4302.767296  -91.500099  -3013.290455  -764.783118  -1401.755864  
n	169.000000  4109.443787  -328.852071  4591.715976  818.723644  -3282.015196  -794.663842  -131.002346  
n	169.000000  3988.094675  -213.733728  4280.686391  -409.082945  -3168.036168  -520.114667  644.620917  
n	171.000000  3952.081871  -346.947368  4192.105263  272.542389  -3208.204371  -143.695291  373.977839  
n	177.000000  4264.745763  -537.322034  4454.858757  -1423.253088  -2827.720578  -174.424974  -89.465607  
n	175.000000  4047.428571  -453.685714  4528.937143  -560.277551  -2303.127347  -848.567673  152.894106  
n	175.000000  4119.108571  -391.502857  4792.434286  500.109649  -3391.003788  118.307167  -1109.695151  
n	174.000000  4448.465517  -389.017241  4727.408046  467.957194  -4182.389219  -454.803805  -2024.808033  
n	184.000000  4603.081522  -515.201087  5010.429348  1329.468041  -4790.680588  -619.341505  613.655423  
